id,institution_name,institution_address,outbreak_setting,type_of_outbreak,causative_agent_1,causative_agent_2,date_outbreak_began,date_declared_over,active
937,Amica On The Avenue - 3rd & 4th Fl,1066 Avenue Rd,Retirement Home,Respiratory,Influenza A (Not subtyped),Metapneumovirus,2023-01-30,2023-02-13,N
938,Bradgate Arms,54 Foxbar Rd,Retirement Home,Enteric,Norovirus,NA,2023-01-30,2023-02-14,N
939,McCowan Retirement Residence - 6th Fl,2881 Eglinton Avenue E,Retirement Home,Respiratory,COVID-19,NA,2023-01-30,2023-02-08,N
940,New Horizons Tower - 4th - 16th Fl,1140 Bloor St W,Retirement Home,Respiratory,COVID-19,NA,2023-01-30,2023-02-13,N
941,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LSSW,2075 Bayview Ave,LTCH,Respiratory,Influenza A (Not subtyped),NA,2023-01-30,2023-02-08,N
942,Village Of Humber Heights - Wadsworth,2245 Lawrence Ave W,LTCH,Enteric,Unable to identify,NA,2023-01-30,2023-02-11,N
943,Harmony Hills Care Community - 1A (Melody Lane),1800 O'Connor Drive,LTCH,Respiratory,COVID-19,NA,2023-01-29,2023-02-10,N
944,Norwood Nursing Home - 2nd Fl,122 Tyndall Ave,LTCH,Respiratory,Respiratory syncytial virus,NA,2023-01-29,2023-02-18,N
945,Unity Health Toronto - St. Joseph's - 2M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-01-29,2023-02-03,N
946,Centre for Addiction and Mental Health - Queen Street Site - Unit 1-3,1001 Queen Street West,Hospital-Psychiatric,Respiratory,COVID-19,NA,2023-01-28,2023-02-04,N
947,Jewish Home for the Aged - 7GS,3560 Bathurst St,LTCH,Respiratory,COVID-19,NA,2023-01-28,2023-02-18,N
948,RCC - Southlake Regional Health Centre - Finch Site - 5 East,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-01-27,2023-02-07,N
949,Better Living at Thompson House - 2nd Fl,1 Overland Dr,LTCH,Respiratory,Metapneumovirus,NA,2023-01-26,2023-02-10,N
950,Cummer Lodge - 3 North,205 Cummer Ave,LTCH,Respiratory,COVID-19,NA,2023-01-26,2023-02-06,N
951,Norfinch Care Community - Unit 2A,22 Norfinch Dr,LTCH,Respiratory,Respiratory syncytial virus,NA,2023-01-26,2023-02-14,N
952,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - K2W,2075 Bayview Ave,LTCH,Respiratory,COVID-19,NA,2023-01-26,2023-02-07,N
953,Cheltenham Care Community - 2nd Fl,5935 Bathurst St,LTCH,Respiratory,COVID-19,NA,2023-01-25,2023-02-23,N
954,Jewish Home for the Aged - 2GS,3560 Bathurst St,LTCH,Respiratory,COVID-19,NA,2023-01-24,2023-01-31,N
955,Main Street Terrace - 2nd Fl,77 Main St,LTCH,Respiratory,Parainfluenza,NA,2023-01-24,2023-02-13,N
956,Main Street Terrace - 2nd Fl,77 Main St,LTCH,Respiratory,COVID-19,NA,2023-01-24,2023-02-13,N
957,Nisbet Lodge - 9th Fl,740 Pape Ave,LTCH,Respiratory,Metapneumovirus,NA,2023-01-24,2023-02-02,N
958,Wesburn Manor - 2nd Fl,400 The West Mall,LTCH,Respiratory,Rhinovirus,NA,2023-01-24,2023-02-09,N
959,Downsview Long Term Care Centre - Unit 1 North,3593 Keele St,LTCH,Respiratory,Unable to identify,NA,2023-01-23,2023-02-09,N
960,Eatonville Care Centre - Unit 5,420 The East Mall,LTCH,Respiratory,Respiratory syncytial virus,NA,2023-01-23,2023-02-26,N
961,Tony Stacey Centre For Veterans' Care,59 Lawson Rd,LTCH,Respiratory,Respiratory syncytial virus,NA,2023-01-23,2023-02-09,N
962,Villa Colombo - 4 Fusco West & 4 Fusco South,40 Playfair Ave,LTCH,Respiratory,Coronavirus*,NA,2023-01-23,2023-02-02,N
963,William Osler Health System - Etobicoke - 6W,101 Humber College Boulevard,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-01-23,2023-02-02,N
964,Chartwell Gibson Long Term Care Residence - 3rd Fl,1925 Steeles Ave,LTCH,Respiratory,Respiratory syncytial virus,NA,2023-01-22,2023-02-13,N
965,Terraces of Baycrest - 4th Fl,55 Ameer Ave,Retirement Home,Respiratory,COVID-19,NA,2023-01-22,2023-02-01,N
966,Unity Health Toronto - St. Joseph's - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-01-22,2023-02-01,N
967,Baycrest Hospital - North York - 5E,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-01-21,2023-02-02,N
968,Labdara Lithuanian Nursing Home - 2nd Fl,5 Resurrection Rd,LTCH,Respiratory,COVID-19,NA,2023-01-21,2023-02-23,N
969,Fudger House - 2 East,439 Sherbourne St,LTCH,Respiratory,Respiratory syncytial virus,NA,2023-01-20,2023-01-30,N
970,Maynard Nursing Home - 2nd Fl,28 Halton St,LTCH,Respiratory,Respiratory syncytial virus,NA,2023-01-20,2023-01-24,N
971,Sunnybrook Health Sciences Centre - Bayview Campus - C4,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-01-20,2023-01-27,N
972,The Sumach by Chartwell,146 Sumach St,Retirement Home,Respiratory,COVID-19,NA,2023-01-20,2023-02-07,N
973,University Health Network - Toronto Western - 3B,399 Bathurst Street,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-01-20,2023-02-02,N
974,Forestview Retirement Residence,537 Finch Ave W,Retirement Home,Enteric,Unable to identify,NA,2023-01-19,2023-01-25,N
975,Jewish Home for the Aged - 4GS,3560 Bathurst St,LTCH,Respiratory,COVID-19,NA,2023-01-19,2023-01-31,N
976,North York General Hospital - Seniors' Health Centre,2 Buchan Crt,LTCH,Respiratory,Parainfluenza PIV III,NA,2023-01-19,2023-02-11,N
977,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LTSE & LTSW,2075 Bayview Ave,LTCH,Respiratory,COVID-19,NA,2023-01-19,2023-01-30,N
978,Unity Health Toronto - St. Michael's - 14CC Locked Unit,30 Bond Street,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-01-19,2023-01-27,N
979,Seven Oaks - 3rd Fl,9 Neilson Rd,LTCH,Respiratory,Parainfluenza,Rhinovirus,2023-01-18,2023-01-26,N
980,Sinai Health System - Mount Sinai - 10S,600 University Avenue,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-01-18,2023-01-24,N
981,Lakeside Long Term Care Centre - 2nd Fl,150 Dunn Ave,LTCH,Respiratory,Coronavirus*,NA,2023-01-17,2023-02-01,N
982,North York General Hospital - General Site - 4W,4001 Leslie Street,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-01-17,2023-01-24,N
983,UHN Toronto Rehabilitation Institute - University Centre - South 5,550 University Ave,Hospital-Chronic Care,Respiratory,Influenza A (H3),NA,2023-01-17,2023-01-28,N
984,Chester Village - 2E,3555 Danforth Ave,LTCH,Respiratory,Coronavirus*,NA,2023-01-16,2023-01-27,N
985,Harold and Grace Baker Centre - C Wing,1 Northwestern Ave,LTCH,Respiratory,COVID-19,NA,2023-01-16,2023-02-13,N
986,Midland Gardens Care Community - 6th Fl,130 Midland Ave,LTCH,Respiratory,Unable to identify,NA,2023-01-16,2023-01-31,N
987,Parkland on Eglinton West - 2nd & 4th Fl (West Tower),4650 Eglinton Avenue West,Retirement Home,Respiratory,COVID-19,NA,2023-01-16,2023-02-06,N
988,Baycrest Hospital - North York - H7W,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-01-14,2023-02-02,N
989,Wesburn Manor - 2nd & 3rd Fl,400 The West Mall,LTCH,Respiratory,COVID-19,NA,2023-01-14,2023-02-16,N
990,Fountain View Care Community - 1A,1800 O'Connor Dr,LTCH,Respiratory,Parainfluenza,NA,2023-01-13,2023-01-31,N
991,Valleyview Residence - 3 West,541 Finch Ave,Retirement Home,Respiratory,Respiratory syncytial virus,NA,2023-01-13,2023-01-23,N
992,Amica Bayview Gardens,19 Rean Dr,Retirement Home,Enteric,Norovirus,NA,2023-01-12,2023-01-27,N
993,Ina Grafton Gage Home - 3rd Fl,40 Bell Estate Rd,LTCH,Respiratory,COVID-19,NA,2023-01-12,2023-01-30,N
994,Kingsway - Dining Hall,4251 Dundas Street W,Retirement Home,Respiratory,COVID-19,NA,2023-01-12,2023-01-26,N
995,"Presentation Manor for Seniors - 1st, 2nd, 3rd & 4th Fl",61 Fairfax Cres,Retirement Home,Respiratory,COVID-19,NA,2023-01-12,2023-03-06,N
996,RCC - Humber River Hospital - Church Site - C2N,200 Church Street,Transitional Care,Respiratory,COVID-19,NA,2023-01-12,2023-01-21,N
997,Scarborough Retirement Residence - 5th Fl,148 Markham Rd,Retirement Home,Respiratory,COVID-19,NA,2023-01-12,2023-01-24,N
998,Sunnybrook Health Sciences Centre - K3E,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),NA,2023-01-12,2023-01-18,N
999,The Wexford - 2nd Fl,1860 Lawrence Ave E,LTCH,Respiratory,COVID-19,NA,2023-01-12,2023-01-26,N
1000,Unity Health Toronto - Providence - B5,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-01-12,2023-01-19,N
1001,Villa Colombo - 4 Fusco West,40 Playfair Ave,LTCH,Respiratory,Unable to identify,NA,2023-01-12,2023-01-18,N
1002,Village Of Humber Heights - Wadsworth Neighbourhood,2245 Lawrence Ave W,LTCH,Respiratory,Unable to identify,NA,2023-01-12,2023-01-23,N
1003,Centre For Addiction and Mental Health - Queen Street Site - Unit 3-2,1001 Queen Street West,Hospital-Psychiatric,Respiratory,COVID-19,NA,2023-01-11,2023-01-24,N
1004,Extendicare Scarborough - 1 North,3830 Lawrence Ave E,LTCH,Respiratory,Enterovirus/Rhinovirus,Respiratory syncytial virus,2023-01-11,2023-01-22,N
1005,Kensington Place Retirement Residence - 2nd Fl,866 Sheppard Ave,Retirement Home,Respiratory,Parainfluenza,NA,2023-01-11,2023-01-13,N
1006,Tendercare Living Centre - 2 East,1020 McNicoll Ave,LTCH,Respiratory,Respiratory syncytial virus,NA,2023-01-11,2023-01-19,N
1007,The Wexford - 2nd Fl,1860 Lawrence Ave E,LTCH,Respiratory,Unable to identify,NA,2023-01-11,2023-01-27,N
1008,True Davidson Acres - 5th Fl,200 Dawes Rd,LTCH,Respiratory,Coronavirus*,NA,2023-01-11,2023-01-25,N
1009,West Park Healthcare Centre - 3EB,82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-01-11,2023-01-19,N
1010,Baycrest Hospital - North York - 7E,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-01-10,2023-01-31,N
1011,"Chartwell Grenadier Retirement Residence - B4, D1 & D4",2100 Bloor Street W,Retirement Home,Respiratory,COVID-19,NA,2023-01-10,2023-01-27,N
1012,Donway Place - 3rd Fl Independent Living,8 The Don Way E,Retirement Home,Respiratory,Unable to identify,NA,2023-01-10,2023-01-27,N
1013,Harold And Grace Baker Centre - A-Wing,1 Northwestern Ave,LTCH,Respiratory,Respiratory syncytial virus,NA,2023-01-10,2023-02-03,N
1014,Harold and Grace Baker Centre LTCH - A Wing,1 Northwestern Ave,LTCH,Respiratory,COVID-19,NA,2023-01-10,2023-02-03,N
1015,Jewish Home for the Aged - 3GS,3560 Bathurst St,LTCH,Respiratory,COVID-19,NA,2023-01-10,2023-01-19,N
1016,Lakeside Long Term Care Centre - 3rd Fl,150 Dunn Ave,LTCH,Respiratory,Enterovirus,Rhinovirus,2023-01-10,2023-01-18,N
1017,Presentation Manor - 4th Fl (MC),61 Fairfax Cres,Retirement Home,Respiratory,Influenza A (Not subtyped),Respiratory syncytial virus,2023-01-10,2023-01-31,N
1018,University Health Network - Toronto Western - 4B,399 Bathurst Street,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-01-10,2023-02-10,N
1019,William Osler Health System - 8E,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,NA,2023-01-10,2023-01-17,N
1020,Belmont House Retirement Home,55 Belmont St,Retirement Home,Respiratory,Coronavirus*,NA,2023-01-09,2023-01-20,N
1021,Bill McMurray Residence - 2nd & 5th Fl,180 Sheridan Ave,Retirement Home,Respiratory,COVID-19,NA,2023-01-09,2023-02-01,N
1022,Chartwell Scarlett Heights Retirement Residence - 5th Fl,4005 Eglinton Avenue W,Retirement Home,Respiratory,COVID-19,NA,2023-01-09,2023-01-18,N
1023,"Leaside Retirement Residence - Building 10, 6th Fl",10-14 William Morgan Dr,Retirement Home,Respiratory,Respiratory syncytial virus,NA,2023-01-09,2023-01-16,N
1024,Norwood Nursing Home - 1st Fl,122 Tyndall Ave,LTCH,Respiratory,Respiratory syncytial virus,NA,2023-01-09,2023-01-19,N
1025,"Scarborough Retirement Residence - 2nd, 4th, 5th, 6th & 7th Fl",148 Markham Rd,Retirement Home,Enteric,Unable to identify,NA,2023-01-08,2023-01-16,N
1026,Sunnybrook Health Sciences Centre - St. John's Rehab - A1,285 Cummer Avenue,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-01-08,2023-01-20,N
1027,Sunnybrook Health Sciences Centre - St. John's Rehab - A2,285 Cummer Avenue,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-01-08,2023-01-19,N
1028,Sunnybrook Health Sciences Centre - St. John's Rehab - A3,285 Cummer Avenue,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-01-08,2023-01-20,N
1029,"The Village of Humber Heights - Williamsburg West & East, Egerton, Becker 3rd, 4th & 5th Fl",2245 Lawrence Avenue West,Retirement Home,Respiratory,COVID-19,NA,2023-01-08,2023-02-12,N
1030,RCC - Trillium Health Partners - Church Site - 6B,200 Church St,Transitional Care,Respiratory,COVID-19,NA,2023-01-07,2023-01-21,N
1031,The Teddington - 3rd & 4th Fl,4 Teddington Park Avenue,Retirement Home,Respiratory,COVID-19,NA,2023-01-07,2023-01-20,N
1032,Deerwood Creek Care Community - Unit 3A,70 Humberline Dr,LTCH,Respiratory,Coronavirus*,NA,2023-01-06,2023-01-13,N
1033,"Donway Place - 1st, 2nd, 3rd & 4th Fl",8 The Donway E,Retirement Home,Respiratory,COVID-19,NA,2023-01-06,2023-01-27,N
1034,Elm Grove Living Centre - 3rd Fl,35 Elm Grove Ave,LTCH,Respiratory,COVID-19,NA,2023-01-06,2023-02-06,N
1035,Unity Health Toronto - Providence - A3,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-01-06,2023-01-13,N
1036,University Health Network - Toronto Western - 8A,399 Bathurst Street,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-01-06,2023-02-05,N
1037,Greenview Lodge,880 Lawrence Ave E,Retirement Home,Enteric,Norovirus,NA,2023-01-05,2023-01-19,N
1038,Hellenic Home - Ground Fl,2411 Lawrence Ave E,LTCH,Respiratory,Respiratory syncytial virus,NA,2023-01-05,2023-01-15,N
1039,The Kensington Gardens - 1E & 1W South,25 Brunswick Ave,LTCH,Respiratory,COVID-19,NA,2023-01-05,2023-01-23,N
1040,Unity Health Toronto - St. Michael's - 9CC,30 Bond Street,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-01-05,2023-01-19,N
1041,"Amica Bayview Gardens - 2nd, 3rd, 5th & 6th Fl",19 Rean Dr,Retirement Home,Respiratory,Respiratory syncytial virus,Rhinovirus,2023-01-04,2023-01-10,N
1042,Cedarhurst Dementia Care Home - 1st & 2nd Fl,2601 Bayview Ave,Retirement Home,Respiratory,COVID-19,NA,2023-01-04,2023-01-24,N
1043,Chartwell Scarlett Heights Retirement Residence - 2nd Fl,4005 Eglinton Ave W,Retirement Home,Enteric,Unable to identify,NA,2023-01-04,2023-01-10,N
1044,Delmanor Wynford,187 Wynford Dr,Retirement Home,Respiratory,COVID-19,NA,2023-01-04,2023-01-20,N
1045,"Downsview Long Term Care Centre - Unit 1 East, Unit 1 Centre & Unit 1 North",3595 Keele St,LTCH,Respiratory,COVID-19,NA,2023-01-04,2023-02-06,N
1046,Unity Health Toronto - St. Michael's - 8CS,30 Bond Street,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-01-04,2023-01-16,N
1047,West Park Healthcare Centre - 3EA,82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-01-04,2023-01-17,N
1048,Belmont House - 4WW,55 Belmont St,LTCH,Respiratory,Influenza A (Not subtyped),Coronavirus*,2023-01-03,2023-01-16,N
1049,"Chartwell Trilogy Long Term Care Residence - 1st, 5th, 6th & 7th Fl",340 McCowan Rd,LTCH,Respiratory,Respiratory syncytial virus,Enterovirus/Rhinovirus,2023-01-03,2023-02-24,N
1050,Craiglee Nursing Home - 2 West & 2 East,102 Craiglee Dr,LTCH,Respiratory,Parainfluenza,NA,2023-01-03,2023-01-25,N
1051,"Craiglee Nursing Home - 2 West, 3 East & 3 West",102 Craiglee Dr,LTCH,Respiratory,COVID-19,NA,2023-01-03,2023-01-25,N
1052,Eatonville Care Centre - Etobicoke - 4th Fl,420 The East Mall,LTCH,Respiratory,COVID-19,NA,2023-01-03,2023-01-17,N
1053,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LSSW,2075 Bayview Ave,LTCH,Respiratory,COVID-19,NA,2023-01-03,2023-01-19,N
1054,The Dunfield Retirement Residence - Dining,77 Dunfield Ave,Retirement Home,Respiratory,COVID-19,NA,2023-01-03,2023-01-18,N
1055,University Health Network - Toronto Western - 9A,399 Bathurst Street,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-01-03,2023-01-13,N
1056,Villa Colombo Homes for the Aged - 3 Fusco West,40 Playfair Ave,LTCH,Respiratory,COVID-19,NA,2023-01-03,2023-01-23,N
1057,Weston Gardens - Transitional Care Unit,303 Queens Dr,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-01-03,2023-01-21,N
1058,Jewish Home for the Aged - 6GS,3560 Bathurst St,LTCH,Respiratory,COVID-19,NA,2023-01-02,2023-01-24,N
1059,Mccall Centre For Continuing Care - 4th Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,NA,2023-01-02,2023-01-11,N
1060,Unity Health Toronto - St. Joseph's - 4E,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-01-02,2023-01-13,N
1061,Belmont House,55 Belmont Street,Retirement Home,Respiratory,COVID-19,NA,2023-01-01,2023-01-20,N
1062,Isabel and Arthur Meighen Manor - Lawrence Unit,155 Millwood Rd,LTCH,Respiratory,COVID-19,NA,2023-01-01,2023-02-21,N
1063,North York General Hospital - Branson Site - 4th Fl,555 Finch Avenue West,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-01-01,2023-01-14,N
1064,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - K2C,2075 Bayview Ave,LTCH,Respiratory,COVID-19,NA,2023-01-01,2023-01-18,N
1065,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LSSE,2075 Bayview Ave,LTCH,Respiratory,COVID-19,NA,2023-01-01,2023-01-16,N
1066,"Villa Colombo Homes For The Aged - 5 Fusco South, 5 Fusco North & 5 Fusco West",40 Playfair Ave,LTCH,Respiratory,Influenza A (Not subtyped),Respiratory syncytial virus,2023-01-01,2023-01-13,N
1,Chartwell Gibson Long Term Care Residence - Unit 3,1925 Steeles Ave E,LTCH,Respiratory,Influenza A (Not subtyped),NA,2022-12-31,2023-01-13,N
2,Christie Gardens - Seaton,600 Melita Cres,Retirement Home,Respiratory,COVID-19,NA,2022-12-31,2023-01-23,N
3,Lakeshore Lodge - 2 North,3197 Lakeshore Blvd,LTCH,Respiratory,COVID-19,NA,2022-12-31,2023-01-20,N
4,The Teddington - 3rd Fl,4 Teddington Park Ave,Retirement Home,Respiratory,Respiratory syncytial virus,NA,2022-12-31,2023-01-09,N
5,Delmanor Prince Edward - Etobicoke - 6th Fl,4180 Dundas Street W,Retirement Home,Respiratory,COVID-19,NA,2022-12-30,2023-01-13,N
6,Hellenic Home - 2B & 3B,2411 Lawrence Ave E,LTCH,Respiratory,COVID-19,NA,2022-12-30,2023-02-02,N
7,Kennedy Lodge - Main North 1st Fl,1400 Kennedy Rd,LTCH,Respiratory,Respiratory syncytial virus,NA,2022-12-30,2023-01-13,N
8,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,COVID-19,NA,2022-12-30,2023-01-09,N
9,Westside - Etobicoke - 4th Fl,1145 Albion Rd,LTCH,Respiratory,COVID-19,NA,2022-12-30,2023-01-10,N
10,Cummer Lodge - 3 South & Main Fl (SCU),205 Cummer Ave,LTCH,Respiratory,COVID-19,NA,2022-12-29,2023-01-18,N
11,Kipling Acres - 1S (Humber & Pinepoint) & 2S (Elms),2233 Kipling Ave,LTCH,Respiratory,COVID-19,NA,2022-12-29,2023-01-25,N
12,Sunnybrook Health Sciences Centre - St. John's Rehab - A4,285 Cummer Avenue,Hospital-Chronic Care,Respiratory,COVID-19,NA,2022-12-29,2023-01-23,N
13,Ukrainian Canadian Care Centre - 2nd & 3rd Fl,60 Richview Road,LTCH,Respiratory,COVID-19,NA,2022-12-29,2023-01-25,N
14,Unity Health Toronto - Providence - B4,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,COVID-19,NA,2022-12-29,2023-01-18,N
15,Unity Health Toronto - St. Joseph's - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,NA,2022-12-29,2023-01-11,N
16,Yee Hong Centre - Scarborough McNicoll - 2nd Fl,2311 McNicoll Ave,LTCH,Respiratory,COVID-19,NA,2022-12-29,2023-01-16,N
17,Cedarvale Terrace - 2nd Fl,429 Walmer Road,LTCH,Respiratory,COVID-19,NA,2022-12-28,2023-01-19,N
18,"Chartwell White Eagle Long Term Care Residence - 2nd, 3rd & 4th Fl",138 Dowling Ave,LTCH,Respiratory,COVID-19,NA,2022-12-28,2023-01-16,N
19,Craiglee Nursing Home - 3rd Fl West,102 Craiglee Dr,LTCH,Enteric,Unable to identify,NA,2022-12-28,2023-01-05,N
20,Sunnybrook Health Sciences Centre - K3CA,2075 Bayview Ave,Hospital-Acute Care,Other,CPE Unspecified (NDM),NA,2022-12-28,2023-01-16,N
21,Unity Health Toronto - Providence - B3,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,COVID-19,NA,2022-12-28,2023-01-11,N
22,Valleyview Residence - 4 East,541 Finch Ave W,LTCH,Respiratory,COVID-19,NA,2022-12-28,2023-01-17,N
23,West Park Long Term Care Centre - Hughes & Prittie,82 Buttonwood Avenue,LTCH,Respiratory,COVID-19,NA,2022-12-28,2023-01-14,N
24,Chartwell Lansing Retirement Residence - 3rd Fl,10 Senlac Rd,Retirement Home,Respiratory,COVID-19,NA,2022-12-27,2023-01-18,N
25,Unity Health Toronto - St. Joseph's - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,NA,2022-12-27,2023-01-19,N
26,Cummer Lodge - 4 South & North,205 Cummer Ave,LTCH,Respiratory,Respiratory syncytial virus,Rhinovirus,2022-12-26,2023-01-14,N
27,Elm Grove Living Centre - 2nd Fl,35 Elm Grove Ave,LTCH,Respiratory,Respiratory syncytial virus,NA,2022-12-26,2023-01-04,N
28,Extendicare Guildwood - West Unit,60 Guildwood Pky,LTCH,Enteric,Norovirus-like,NA,2022-12-26,2023-01-03,N
29,Hazelton Place Retirement Residence,111 Avenue Rd,Retirement Home,Respiratory,Influenza A (Not subtyped),NA,2022-12-26,2023-01-16,N
30,North York General Hospital - General Site - 6N,4001 Leslie Street,Hospital-Acute Care,Respiratory,COVID-19,NA,2022-12-26,2023-01-05,N
31,Extendicare Bayview,550 Cummer Ave,LTCH,Enteric,Norovirus-like,NA,2022-12-25,2023-01-13,N
32,Hellenic Care for Seniors,215 Tyrrel Avenue,LTCH,Respiratory,COVID-19,NA,2022-12-24,2023-01-23,N
33,Midland Gardens Care Community - 6th Fl,130 Midland Ave,LTCH,Respiratory,COVID-19,NA,2022-12-24,2023-01-31,N
34,North Park Nursing Home - 1st & 2nd Fl,450 Rustic Rd,LTCH,Respiratory,Respiratory syncytial virus,Influenza A (Not subtyped),2022-12-24,2023-01-06,N
35,Cedarbrook Lodge TCU - 6th Fl,520 Markham Rd,Retirement Home,Enteric,Norovirus-like,NA,2022-12-23,2023-01-10,N
36,Centre For Addiction and Mental Health - Queen Street Site - Unit 3-5/ATU,1001 Queen Street West,Hospital-Psychiatric,Respiratory,COVID-19,NA,2022-12-23,2023-01-12,N
37,Pine Villa Seniors Transitional Care - 2nd & 3rd Fl (Sprint),1035 Eglinton Avenue W,Hospital-Chronic Care,Respiratory,COVID-19,NA,2022-12-23,2023-01-09,N
38,RCC - Humber River Hospital - Finch Site - 6 East,2111 Finch Avenue West,Hospital-Chronic Care,Respiratory,COVID-19,NA,2022-12-23,2023-01-08,N
39,University Health Network - Toronto Western - 6AB,399 Bathurst Street,Hospital-Acute Care,Respiratory,COVID-19,NA,2022-12-23,2023-01-06,N
40,Yee Hong Centre - Scarborough Finch - 5th Fl North,60 Scottfield Dr,LTCH,Respiratory,COVID-19,NA,2022-12-23,2023-01-16,N
41,New Horizons Tower - 3rd Fl,1140 Bloor St W,Retirement Home,Respiratory,COVID-19,NA,2022-12-22,2023-01-02,N
42,Scarborough Health Network - Scarborough General - Satellite Transitional Care Unit,1029 McNicoll Ave,Hospital-Acute Care,Respiratory,COVID-19,NA,2022-12-22,2023-01-01,N
43,Trillium Health Partners - McCall Centre for Continuing Care - 2nd Fl CCC,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,NA,2022-12-22,2022-12-28,N
44,University Health Network - Toronto General - 8ES,200 Elizabeth Street,Hospital-Acute Care,Respiratory,COVID-19,NA,2022-12-22,2022-12-31,N
45,"Hawthorne Place Care Centre - 1st Fl, 3rd Fl & Convalescent Unit",2045 Finch Ave W,LTCH,Respiratory,Influenza A (Not subtyped),NA,2022-12-21,2023-01-04,N
46,Hillcrest Reactivation Centre - 3rd Fl,47 Austin Terr,Transitional Care,Respiratory,COVID-19,NA,2022-12-21,2023-01-05,N
47,Sts. Peter and Paul Residence - 3rd Fl,221 Milner Ave,Retirement Home,Respiratory,COVID-19,NA,2022-12-21,2023-01-03,N
48,University Health Network - Toronto Western - 8B,399 Bathurst Street,Hospital-Acute Care,Respiratory,COVID-19,NA,2022-12-21,2023-01-12,N
49,"Cedarbrook Lodge Retirement Residence - 2nd, 3rd & 5th Fl",520 Markham Rd,Retirement Home,Enteric,Norovirus-like,NA,2022-12-20,2023-01-05,N
50,Sinai Health System - Hennick Bridgepoint - 2N,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,NA,2022-12-20,2023-01-03,N
51,Unity Health Toronto - Houses of Providence - HOP 3W,3276 St. Clair Ave E,LTCH,Respiratory,Respiratory syncytial virus,NA,2022-12-20,2022-12-26,N
52,Unity Health Toronto - Houses of Providence - HOP 4W Oak & Willow,3276 St Clair Ave E,LTCH,Respiratory,COVID-19,NA,2022-12-20,2023-01-09,N
53,Chester Village - 2W,3555 Danforth Ave,LTCH,Respiratory,COVID-19,NA,2022-12-19,2023-01-16,N
54,Runnymede Healthcare Centre - 3 West,625 Runnymede Road,Hospital-Chronic Care,Respiratory,COVID-19,NA,2022-12-19,2023-01-06,N
55,Sinai Health System - Mount Sinai - 10N,600 University Avenue,Hospital-Acute Care,Respiratory,COVID-19,NA,2022-12-19,2023-01-08,N
56,Sinai Health System - Mount Sinai - 9S,600 University Avenue,Hospital-Acute Care,Respiratory,COVID-19,NA,2022-12-19,2023-01-02,N
