outbreak_type,causative_agent,start,end,institution,duration
Respiratory,Coronavirus,2022-12-03,2022-12-21,LTCH,18
Respiratory,RSV,2022-12-02,2022-12-13,LTCH,11
Respiratory,Coronavirus,2022-12-02,2022-12-20,Retirement Home,18
Other,Unknown,2022-12-02,2022-12-21,Acute Care,19
Respiratory,Coronavirus,2022-12-01,2022-12-20,Chronic Care,19
Respiratory,Coronavirus,2022-12-01,2022-12-11,LTCH,10
Respiratory,Influenza,2022-12-01,2022-12-15,Acute Care,14
Respiratory,Influenza,2022-11-30,2022-12-09,LTCH,9
Respiratory,Influenza,2022-11-30,2022-12-14,LTCH,14
Respiratory,Influenza,2022-11-30,2022-12-16,LTCH,16
Respiratory,Influenza,2022-11-30,2022-12-05,LTCH,5
Respiratory,RSV,2022-11-30,2022-12-30,LTCH,30
Respiratory,Coronavirus,2022-11-30,2022-12-18,Retirement Home,18
Respiratory,Unknown,2022-11-30,2022-12-16,LTCH,16
Respiratory,Coronavirus,2022-11-30,2022-12-15,Retirement Home,15
Respiratory,Influenza,2022-11-30,2022-12-06,LTCH,6
Respiratory,Coronavirus,2022-11-29,2022-12-08,Chronic Care,9
Respiratory,Influenza,2022-11-29,2022-12-05,Retirement Home,6
Respiratory,Coronavirus,2022-11-29,2022-12-19,LTCH,20
Enteric,Unknown,2022-11-29,2022-12-09,LTCH,10
Respiratory,Coronavirus,2022-11-29,2022-12-10,Chronic Care,11
Respiratory,Coronavirus,2022-11-29,2022-12-14,Chronic Care,15
Respiratory,Coronavirus,2022-11-29,2022-12-11,Acute Care,12
Respiratory,Coronavirus,2022-11-29,2022-12-09,LTCH,10
Respiratory,Influenza,2022-11-29,2022-12-07,Acute Care,8
Respiratory,Influenza,2022-11-29,2022-12-08,LTCH,9
Respiratory,Coronavirus,2022-11-28,2022-12-12,Retirement Home,14
Enteric,Unknown,2022-11-28,2022-12-02,LTCH,4
Respiratory,Unknown,2022-11-28,2022-12-21,Retirement Home,23
Respiratory,Unknown,2022-11-28,2022-12-13,LTCH,15
Respiratory,Influenza,2022-11-28,2022-12-19,Retirement Home,21
Respiratory,Influenza,2022-11-28,2022-12-19,Retirement Home,21
Respiratory,Influenza,2022-11-28,2022-12-10,LTCH,12
Respiratory,Coronavirus,2022-11-28,2022-12-07,LTCH,9
Respiratory,Coronavirus,2022-11-28,2023-01-03,Retirement Home,36
Respiratory,RSV,2022-11-27,2022-12-15,LTCH,18
Respiratory,Coronavirus,2022-11-27,2022-12-08,LTCH,11
Respiratory,Coronavirus,2022-11-27,2022-12-06,Acute Care,9
Respiratory,Coronavirus,2022-11-26,2022-12-22,Acute Care,26
Respiratory,Coronavirus,2022-11-26,2022-12-05,LTCH,9
Respiratory,Influenza,2022-11-26,2022-12-02,Retirement Home,6
Respiratory,Coronavirus,2022-11-25,2022-12-05,Retirement Home,10
Respiratory,Coronavirus,2022-11-25,2022-12-12,Retirement Home,17
Respiratory,Coronavirus,2022-11-25,2022-12-13,Chronic Care,18
Respiratory,RSV,2022-11-25,2022-12-20,LTCH,25
Respiratory,Coronavirus,2022-11-24,2022-12-06,Chronic Care,12
Respiratory,Coronavirus,2022-11-24,2022-12-13,Retirement Home,19
Respiratory,Influenza,2022-11-24,2022-12-06,LTCH,12
Respiratory,Coronavirus,2022-11-24,2022-12-13,Chronic Care,19
Respiratory,Coronavirus,2022-11-24,2022-12-15,Retirement Home,21
Respiratory,Influenza,2022-11-24,2022-12-20,LTCH,26
Respiratory,Influenza,2022-11-24,2022-12-08,LTCH,14
Respiratory,Influenza,2022-11-23,2022-12-02,LTCH,9
Respiratory,Coronavirus,2022-11-23,2022-12-22,Chronic Care,29
Respiratory,Influenza,2022-11-23,2023-01-10,LTCH,48
Respiratory,Influenza,2022-11-23,2022-12-09,Acute Care,16
Respiratory,Coronavirus,2022-11-23,2022-12-02,Acute Care,9
Respiratory,Unknown,2022-11-22,2022-12-03,LTCH,11
Respiratory,Coronavirus,2022-11-22,2022-12-09,Acute Care,17
Respiratory,Coronavirus,2022-11-21,2022-12-19,LTCH,28
Respiratory,RSV,2022-11-21,2022-12-09,LTCH,18
Respiratory,Coronavirus,2022-11-21,2022-11-30,Retirement Home,9
Respiratory,Coronavirus,2022-11-20,2022-12-01,Chronic Care,11
Respiratory,Influenza,2022-11-20,2022-12-09,Retirement Home,19
Respiratory,Coronavirus,2022-11-20,2022-11-30,LTCH,10
Respiratory,Influenza,2022-11-20,2022-12-05,LTCH,15
Respiratory,Coronavirus,2022-11-20,2022-12-11,Chronic Care,21
Respiratory,Coronavirus,2022-11-20,2022-11-30,Chronic Care,10
Respiratory,Coronavirus,2022-11-20,2022-11-30,Chronic Care,10
Respiratory,Coronavirus,2022-11-19,2022-11-29,LTCH,10
Respiratory,RSV,2022-11-18,2022-12-28,LTCH,40
Respiratory,Influenza,2022-11-18,2022-12-07,LTCH,19
Respiratory,Coronavirus,2022-11-18,2022-12-22,LTCH,34
Respiratory,Coronavirus,2022-11-18,2022-12-13,Retirement Home,25
Respiratory,Coronavirus,2022-11-18,2022-12-03,LTCH,15
Respiratory,Coronavirus,2022-11-18,2022-11-28,Chronic Care,10
Respiratory,Coronavirus,2022-11-18,2022-12-03,Acute Care,15
Respiratory,Rhinovirus,2022-11-17,2022-11-28,LTCH,11
Respiratory,Coronavirus,2022-11-17,2022-12-05,Retirement Home,18
Respiratory,Unknown,2022-11-17,2022-11-26,LTCH,9
Respiratory,Influenza,2022-11-17,2022-11-24,Acute Care,7
Respiratory,Coronavirus,2022-11-16,2022-12-14,LTCH,28
Respiratory,RSV,2022-11-16,2022-12-16,LTCH,30
Respiratory,Coronavirus,2022-11-16,2022-12-14,LTCH,28
Respiratory,Coronavirus,2022-11-16,2022-12-27,LTCH,41
Respiratory,Coronavirus,2022-11-16,2022-12-12,Retirement Home,26
Respiratory,Coronavirus,2022-11-16,2022-12-07,Chronic Care,21
Respiratory,Rhinovirus,2022-11-15,2022-12-08,LTCH,23
Respiratory,Coronavirus,2022-11-15,2022-11-28,Retirement Home,13
Respiratory,Influenza,2022-11-15,2022-11-26,LTCH,11
Respiratory,Coronavirus,2022-11-14,2022-11-28,LTCH,14
Respiratory,Rhinovirus,2022-11-14,2022-12-12,LTCH,28
Respiratory,Influenza,2022-11-14,2022-11-21,LTCH,7
Respiratory,Coronavirus,2022-11-14,2022-11-28,Acute Care,14
Respiratory,Coronavirus,2022-11-14,2022-11-20,LTCH,6
Respiratory,Influenza,2022-11-13,2022-11-23,LTCH,10
Respiratory,Coronavirus,2022-11-13,2022-12-05,Acute Care,22
Respiratory,Coronavirus,2022-11-13,2022-12-13,LTCH,30
Respiratory,Coronavirus,2022-11-12,2022-12-01,LTCH,19
Respiratory,Coronavirus,2022-11-12,2022-11-19,Acute Care,7
Respiratory,Coronavirus,2022-11-12,2022-11-24,Chronic Care,12
Respiratory,Coronavirus,2022-11-11,2022-11-25,Chronic Care,14
Respiratory,Coronavirus,2022-11-11,2022-11-24,Chronic Care,13
Respiratory,Coronavirus,2022-11-11,2022-11-25,LTCH,14
Respiratory,Coronavirus,2022-11-11,2022-12-28,LTCH,47
Respiratory,Coronavirus,2022-11-11,2022-11-17,Acute Care,6
Respiratory,Coronavirus,2022-11-11,2022-11-21,Acute Care,10
Respiratory,Influenza,2022-11-11,2022-11-24,Acute Care,13
Respiratory,Coronavirus,2022-11-10,2022-12-09,LTCH,29
Respiratory,Coronavirus,2022-11-10,2022-11-18,Acute Care,8
Respiratory,Metapneumovirus,2022-11-09,2022-11-14,Retirement Home,5
Respiratory,Influenza,2022-11-09,2022-11-23,LTCH,14
Respiratory,Rhinovirus,2022-11-08,2022-11-14,LTCH,6
Respiratory,RSV,2022-11-08,2022-12-15,LTCH,37
Respiratory,Influenza,2022-11-08,2022-11-28,Chronic Care,20
Respiratory,Coronavirus,2022-11-08,2022-11-21,Retirement Home,13
Respiratory,RSV,2022-11-08,2022-12-16,Acute Care,38
Respiratory,Influenza,2022-11-08,2022-11-14,Chronic Care,6
Respiratory,Coronavirus,2022-11-07,2022-11-21,Psychiatric,14
Respiratory,Coronavirus,2022-11-07,2022-11-26,LTCH,19
Respiratory,Unknown,2022-11-07,2022-11-21,LTCH,14
Respiratory,RSV,2022-11-06,2022-11-17,Retirement Home,11
Respiratory,Coronavirus,2022-11-06,2022-11-17,Retirement Home,11
Respiratory,Coronavirus,2022-11-05,2022-11-24,Acute Care,19
Respiratory,Coronavirus,2022-11-05,2022-11-20,Acute Care,15
Respiratory,Coronavirus,2022-11-04,2022-12-07,Transitional Care,33
Respiratory,Coronavirus,2022-11-04,2022-11-15,Retirement Home,11
Respiratory,Coronavirus,2022-11-04,2023-01-16,LTCH,73
Respiratory,Coronavirus,2022-11-04,2022-11-21,Chronic Care,17
Respiratory,Coronavirus,2022-11-03,2022-11-20,Acute Care,17
Respiratory,Coronavirus,2022-11-02,2022-11-22,Retirement Home,20
Respiratory,Coronavirus,2022-11-02,2022-12-22,Acute Care,50
Respiratory,Coronavirus,2022-11-01,2022-11-14,LTCH,13
Respiratory,Coronavirus,2022-11-01,2022-12-01,LTCH,30
Respiratory,Coronavirus,2022-11-01,2022-11-12,Acute Care,11
Respiratory,Coronavirus,2022-11-01,2022-11-13,Acute Care,12
Respiratory,RSV,2022-11-01,2022-11-08,Chronic Care,7
Respiratory,Coronavirus,2022-11-01,2022-11-15,Chronic Care,14
Respiratory,Coronavirus,2022-10-31,2022-11-29,Retirement Home,29
Respiratory,Influenza,2022-10-31,2022-11-08,LTCH,8
Respiratory,Rhinovirus,2022-10-31,2022-11-13,Chronic Care,13
Respiratory,Coronavirus,2022-10-31,2022-11-18,Retirement Home,18
Respiratory,Coronavirus,2022-10-31,2022-11-12,Chronic Care,12
Respiratory,Coronavirus,2022-10-31,2022-11-16,Retirement Home,16
Respiratory,Coronavirus,2022-10-31,2022-11-09,Acute Care,9
Respiratory,Coronavirus,2022-10-30,2022-11-17,Retirement Home,18
Respiratory,Coronavirus,2022-10-30,2022-11-12,LTCH,13
Respiratory,Coronavirus,2022-10-30,2022-11-15,LTCH,16
Respiratory,Unknown,2022-10-30,2022-11-08,LTCH,9
Respiratory,Coronavirus,2022-10-30,2022-11-17,Acute Care,18
Respiratory,Coronavirus,2022-10-28,2022-11-12,Retirement Home,15
Respiratory,Rhinovirus,2022-10-28,2022-11-16,LTCH,19
Respiratory,Coronavirus,2022-10-28,2022-11-09,Acute Care,12
Respiratory,Coronavirus,2022-10-28,2022-11-06,Chronic Care,9
Respiratory,Coronavirus,2022-10-28,2022-11-05,Chronic Care,8
Respiratory,Coronavirus,2022-10-27,2022-11-15,Psychiatric,19
Respiratory,Coronavirus,2022-10-27,2022-11-27,Retirement Home,31
Respiratory,Coronavirus,2022-10-27,2022-11-14,Acute Care,18
Respiratory,Coronavirus,2022-10-27,2022-11-10,Acute Care,14
Respiratory,Coronavirus,2022-10-27,2022-11-11,Acute Care,15
Respiratory,Coronavirus,2022-10-27,2022-11-13,Chronic Care,17
Respiratory,Coronavirus,2022-10-26,2022-11-11,Retirement Home,16
Respiratory,Coronavirus,2022-10-26,2022-11-14,LTCH,19
Respiratory,Coronavirus,2022-10-26,2022-10-31,LTCH,5
Respiratory,Metapneumovirus,2022-10-26,2022-11-14,Retirement Home,19
Respiratory,Coronavirus,2022-10-26,2022-11-09,Acute Care,14
Respiratory,Coronavirus,2022-10-25,2022-11-12,Chronic Care,18
Respiratory,Coronavirus,2022-10-25,2022-11-11,Chronic Care,17
Respiratory,Coronavirus,2022-10-25,2022-11-16,LTCH,22
Respiratory,Coronavirus,2022-10-25,2022-11-25,Retirement Home,31
Respiratory,Coronavirus,2022-10-25,2022-11-13,Retirement Home,19
Respiratory,Coronavirus,2022-10-25,2022-11-07,Retirement Home,13
Respiratory,Coronavirus,2022-10-25,2022-10-30,Chronic Care,5
Respiratory,Coronavirus,2022-10-25,2022-12-04,Retirement Home,40
Respiratory,Unknown,2022-10-24,2022-11-10,LTCH,17
Respiratory,Coronavirus,2022-10-24,2022-11-04,Acute Care,11
Respiratory,Coronavirus,2022-10-24,2022-11-17,Retirement Home,24
Respiratory,Coronavirus,2022-10-24,2022-11-29,LTCH,36
Respiratory,Coronavirus,2022-10-23,2022-11-10,Retirement Home,18
Respiratory,Coronavirus,2022-10-23,2022-11-02,Acute Care,10
Respiratory,Coronavirus,2022-10-21,2022-11-06,LTCH,16
Respiratory,Coronavirus,2022-10-21,2022-11-07,Retirement Home,17
Respiratory,Coronavirus,2022-10-21,2022-11-08,Retirement Home,18
Respiratory,Coronavirus,2022-10-21,2022-11-15,LTCH,25
Respiratory,Coronavirus,2022-10-21,2022-11-14,LTCH,24
Respiratory,Coronavirus,2022-10-20,2022-11-05,LTCH,16
Respiratory,Coronavirus,2022-10-20,2022-11-14,Retirement Home,25
Respiratory,Coronavirus,2022-10-20,2022-11-14,Retirement Home,25
Respiratory,Coronavirus,2022-10-20,2022-12-09,LTCH,50
Respiratory,Coronavirus,2022-10-20,2022-11-15,Retirement Home,26
Respiratory,Coronavirus,2022-10-19,2022-11-06,Retirement Home,18
Respiratory,RSV,2022-10-19,2022-11-07,LTCH,19
Respiratory,Coronavirus,2022-10-19,2022-11-01,Acute Care,13
Respiratory,Coronavirus,2022-10-19,2022-11-07,Retirement Home,19
Respiratory,Coronavirus,2022-10-19,2022-11-15,Chronic Care,27
Respiratory,Coronavirus,2022-10-19,2022-11-14,LTCH,26
Respiratory,Coronavirus,2022-10-19,2022-10-29,Acute Care,10
Respiratory,RSV,2022-10-18,2022-10-28,Retirement Home,10
Respiratory,Coronavirus,2022-10-18,2022-11-04,Chronic Care,17
Respiratory,Coronavirus,2022-10-18,2022-10-28,Chronic Care,10
Respiratory,Coronavirus,2022-10-18,2022-10-28,Retirement Home,10
Respiratory,Coronavirus,2022-10-18,2022-10-27,Retirement Home,9
Respiratory,Coronavirus,2022-10-18,2022-11-04,Retirement Home,17
Respiratory,Coronavirus,2022-10-18,2022-10-30,Acute Care,12
Respiratory,Coronavirus,2022-10-17,2022-10-31,LTCH,14
Respiratory,Coronavirus,2022-10-17,2022-10-30,Acute Care,13
Enteric,Unknown,2022-10-17,2022-10-31,Retirement Home,14
Respiratory,Coronavirus,2022-10-17,2022-11-18,LTCH,32
Respiratory,Coronavirus,2022-10-16,2022-11-03,Retirement Home,18
Respiratory,Coronavirus,2022-10-16,2022-11-03,LTCH,18
Respiratory,Coronavirus,2022-10-16,2022-11-04,Retirement Home,19
Respiratory,Coronavirus,2022-10-15,2022-11-07,LTCH,23
Respiratory,Coronavirus,2022-10-15,2022-11-21,Acute Care,37
Respiratory,Coronavirus,2022-10-15,2022-11-07,Chronic Care,23
Respiratory,Rhinovirus,2022-10-14,2022-10-20,LTCH,6
Respiratory,Coronavirus,2022-10-14,2022-11-14,Retirement Home,31
Respiratory,Coronavirus,2022-10-14,2022-10-31,LTCH,17
Respiratory,Coronavirus,2022-10-14,2022-11-21,LTCH,38
Respiratory,Coronavirus,2022-10-14,2022-10-27,Acute Care,13
Respiratory,Coronavirus,2022-10-14,2022-11-29,LTCH,46
Respiratory,Coronavirus,2022-10-14,2022-10-28,Acute Care,14
Respiratory,Coronavirus,2022-10-14,2022-11-12,Acute Care,29
Respiratory,Coronavirus,2022-10-13,2022-10-29,LTCH,16
Respiratory,Coronavirus,2022-10-13,2022-11-11,LTCH,29
Respiratory,Coronavirus,2022-10-13,2022-11-07,Retirement Home,25
Respiratory,Coronavirus,2022-10-13,2022-10-30,LTCH,17
Respiratory,Coronavirus,2022-10-13,2022-11-04,Chronic Care,22
Respiratory,Coronavirus,2022-10-12,2022-11-08,LTCH,27
Respiratory,Coronavirus,2022-10-12,2022-11-14,Transitional Care,33
Respiratory,Coronavirus,2022-10-12,2022-10-31,Acute Care,19
Respiratory,Metapneumovirus,2022-10-12,2022-10-31,Retirement Home,19
Respiratory,Coronavirus,2022-10-12,2022-10-24,Retirement Home,12
Respiratory,Coronavirus,2022-10-11,2022-10-21,LTCH,10
Respiratory,Coronavirus,2022-10-11,2022-10-20,Acute Care,9
Respiratory,Coronavirus,2022-10-11,2022-10-23,Chronic Care,12
Respiratory,Coronavirus,2022-10-10,2022-10-21,LTCH,11
Respiratory,Coronavirus,2022-10-10,2022-10-30,Acute Care,20
Respiratory,Coronavirus,2022-10-10,2022-10-26,Acute Care,16
Respiratory,Coronavirus,2022-10-09,2022-10-24,LTCH,15
Respiratory,Coronavirus,2022-10-09,2022-11-07,LTCH,29
Respiratory,Coronavirus,2022-10-08,2022-11-18,Retirement Home,41
Respiratory,Coronavirus,2022-10-07,2022-11-07,LTCH,31
Respiratory,Coronavirus,2022-10-07,2022-10-27,Retirement Home,20
Respiratory,Coronavirus,2022-10-07,2022-10-16,Acute Care,9
Respiratory,Coronavirus,2022-10-07,2022-10-29,LTCH,22
Respiratory,Coronavirus,2022-10-06,2022-10-31,Retirement Home,25
Respiratory,Coronavirus,2022-10-06,2022-10-14,Acute Care,8
Respiratory,Coronavirus,2022-10-06,2022-10-18,Retirement Home,12
Respiratory,Coronavirus,2022-10-06,2022-10-24,LTCH,18
Respiratory,Coronavirus,2022-10-06,2022-10-18,Chronic Care,12
Respiratory,Coronavirus,2022-10-06,2022-11-05,LTCH,30
Respiratory,Coronavirus,2022-10-05,2022-10-14,LTCH,9
Respiratory,Coronavirus,2022-10-05,2022-10-16,Acute Care,11
Respiratory,Coronavirus,2022-10-05,2022-10-24,Acute Care,19
Respiratory,Coronavirus,2022-10-04,2022-10-25,Chronic Care,21
Respiratory,Coronavirus,2022-10-04,2022-10-16,Chronic Care,12
Respiratory,Coronavirus,2022-10-04,2022-11-01,LTCH,28
Respiratory,Coronavirus,2022-10-03,2022-10-17,Chronic Care,14
Respiratory,Coronavirus,2022-10-03,2022-11-09,LTCH,37
Respiratory,Coronavirus,2022-10-03,2022-10-31,LTCH,28
Respiratory,Coronavirus,2022-10-03,2022-10-18,Chronic Care,15
Respiratory,Coronavirus,2022-10-03,2022-11-07,Acute Care,35
Respiratory,Rhinovirus,2022-10-02,2022-10-12,LTCH,10
Respiratory,Coronavirus,2022-10-01,2022-10-31,LTCH,30
Respiratory,Coronavirus,2022-10-01,2022-10-16,Acute Care,15
Respiratory,Coronavirus,2022-10-01,2022-10-19,Acute Care,18
Respiratory,Coronavirus,2022-09-30,2022-10-15,LTCH,15
Respiratory,Coronavirus,2022-09-30,2022-10-11,LTCH,11
Respiratory,Coronavirus,2022-09-30,2022-10-14,LTCH,14
Respiratory,Coronavirus,2022-09-29,2022-10-15,Chronic Care,16
Respiratory,Unknown,2022-09-28,2022-09-30,LTCH,2
Respiratory,Coronavirus,2022-09-28,2022-10-19,LTCH,21
Respiratory,Coronavirus,2022-09-28,2022-10-14,Acute Care,16
Respiratory,Coronavirus,2022-09-27,2022-10-12,LTCH,15
Respiratory,Coronavirus,2022-09-27,2022-10-06,Chronic Care,9
Respiratory,Coronavirus,2022-09-26,2022-10-14,Retirement Home,18
Respiratory,Coronavirus,2022-09-26,2022-10-07,Retirement Home,11
Respiratory,Coronavirus,2022-09-26,2022-10-08,LTCH,12
Respiratory,Coronavirus,2022-09-26,2022-10-21,LTCH,25
Respiratory,Coronavirus,2022-09-25,2022-10-31,LTCH,36
Respiratory,Coronavirus,2022-09-25,2022-10-26,LTCH,31
Respiratory,Coronavirus,2022-09-24,2022-10-22,Chronic Care,28
Respiratory,Rhinovirus,2022-09-23,2022-10-07,LTCH,14
Respiratory,Coronavirus,2022-09-23,2022-10-14,Retirement Home,21
Respiratory,Coronavirus,2022-09-23,2022-10-03,Retirement Home,10
Respiratory,Unknown,2022-09-23,2022-10-11,LTCH,18
Respiratory,Coronavirus,2022-09-23,2022-10-04,Acute Care,11
Respiratory,Coronavirus,2022-09-23,2022-10-28,Acute Care,35
Respiratory,Coronavirus,2022-09-23,2022-10-04,Acute Care,11
Respiratory,Coronavirus,2022-09-21,2022-10-14,LTCH,23
Respiratory,Coronavirus,2022-09-21,2022-10-01,Chronic Care,10
Respiratory,Rhinovirus,2022-09-21,2022-09-30,LTCH,9
Respiratory,Coronavirus,2022-09-20,2022-11-07,Retirement Home,48
Respiratory,Coronavirus,2022-09-20,2022-09-28,LTCH,8
Respiratory,Coronavirus,2022-09-20,2022-10-27,LTCH,37
Respiratory,Coronavirus,2022-09-19,2022-09-29,Chronic Care,10
Respiratory,Coronavirus,2022-09-19,2022-10-02,Chronic Care,13
Respiratory,Coronavirus,2022-09-18,2022-10-07,Retirement Home,19
Respiratory,Coronavirus,2022-09-18,2022-10-02,Acute Care,14
Respiratory,Coronavirus,2022-09-18,2022-10-03,Chronic Care,15
Respiratory,Coronavirus,2022-09-17,2022-10-12,LTCH,25
Respiratory,Coronavirus,2022-09-17,2022-10-04,Retirement Home,17
Respiratory,Coronavirus,2022-09-17,2022-10-08,Chronic Care,21
Respiratory,Coronavirus,2022-09-16,2022-10-24,LTCH,38
Respiratory,Coronavirus,2022-09-16,2022-11-14,LTCH,59
Respiratory,Coronavirus,2022-09-14,2022-09-23,LTCH,9
Respiratory,Coronavirus,2022-09-14,2022-09-28,Acute Care,14
Respiratory,Coronavirus,2022-09-14,2022-10-14,LTCH,30
Respiratory,Coronavirus,2022-09-13,2022-09-29,Chronic Care,16
Respiratory,Coronavirus,2022-09-12,2022-09-22,LTCH,10
Respiratory,Coronavirus,2022-09-12,2022-09-27,Retirement Home,15
Respiratory,Coronavirus,2022-09-12,2022-09-27,Acute Care,15
Respiratory,Coronavirus,2022-09-11,2022-10-03,LTCH,22
Respiratory,Coronavirus,2022-09-11,2022-09-17,Chronic Care,6
Respiratory,Coronavirus,2022-09-10,2022-10-03,LTCH,23
Respiratory,Coronavirus,2022-09-10,2022-09-20,Acute Care,10
Respiratory,Coronavirus,2022-09-09,2022-10-03,Retirement Home,24
Respiratory,Coronavirus,2022-09-09,2022-09-22,Acute Care,13
Respiratory,Coronavirus,2022-09-08,2022-09-26,Retirement Home,18
Respiratory,Coronavirus,2022-09-08,2022-09-26,Retirement Home,18
Respiratory,Coronavirus,2022-09-08,2022-09-26,LTCH,18
Respiratory,Coronavirus,2022-09-08,2022-12-12,LTCH,95
Respiratory,Coronavirus,2022-09-07,2022-09-28,LTCH,21
Respiratory,Coronavirus,2022-09-07,2022-09-29,Chronic Care,22
Respiratory,Coronavirus,2022-09-07,2022-09-18,Acute Care,11
Respiratory,Influenza,2022-09-07,2022-09-20,LTCH,13
Respiratory,Coronavirus,2022-09-07,2022-10-11,LTCH,34
Respiratory,Coronavirus,2022-09-06,2022-10-04,Acute Care,28
Respiratory,Coronavirus,2022-09-06,2022-09-20,Retirement Home,14
Respiratory,Coronavirus,2022-09-06,2022-09-17,LTCH,11
Respiratory,Coronavirus,2022-09-05,2022-09-28,LTCH,23
Respiratory,Coronavirus,2022-09-05,2022-09-16,Retirement Home,11
Respiratory,Coronavirus,2022-09-04,2022-09-16,LTCH,12
Enteric,Unknown,2022-09-04,2022-09-14,LTCH,10
Respiratory,Coronavirus,2022-09-02,2022-11-06,LTCH,65
Respiratory,Coronavirus,2022-09-01,2022-09-27,Transitional Care,26
Respiratory,Coronavirus,2022-09-01,2022-09-12,Retirement Home,11
Respiratory,Coronavirus,2022-08-30,2022-09-07,Acute Care,8
Respiratory,Coronavirus,2022-08-30,2022-09-10,Acute Care,11
Respiratory,Coronavirus,2022-08-30,2022-09-23,Chronic Care,24
Respiratory,Coronavirus,2022-08-30,2022-09-09,Acute Care,10
Respiratory,Coronavirus,2022-08-29,2022-09-12,Retirement Home,14
Respiratory,Coronavirus,2022-08-29,2022-09-12,LTCH,14
Respiratory,Coronavirus,2022-08-29,2022-09-09,LTCH,11
Respiratory,Coronavirus,2022-08-28,2022-09-06,Acute Care,9
Respiratory,Coronavirus,2022-08-26,2022-09-09,LTCH,14
Respiratory,Coronavirus,2022-08-26,2022-09-09,Chronic Care,14
Respiratory,Coronavirus,2022-08-25,2022-09-06,Retirement Home,12
Respiratory,Coronavirus,2022-08-25,2022-09-28,LTCH,34
Respiratory,Coronavirus,2022-08-25,2022-09-06,Retirement Home,12
Respiratory,Rhinovirus,2022-08-24,2022-08-31,Retirement Home,7
Respiratory,Coronavirus,2022-08-24,2022-09-07,LTCH,14
Respiratory,Coronavirus,2022-08-24,2022-09-13,LTCH,20
Respiratory,Coronavirus,2022-08-24,2022-09-09,Acute Care,16
Respiratory,Coronavirus,2022-08-24,2022-09-04,Acute Care,11
Respiratory,Coronavirus,2022-08-24,2022-09-21,Chronic Care,28
Respiratory,Coronavirus,2022-08-23,2022-09-14,LTCH,22
Respiratory,Rhinovirus,2022-08-22,2022-09-07,LTCH,16
Enteric,Unknown,2022-08-22,2022-08-31,LTCH,9
Respiratory,Influenza,2022-08-22,2022-08-30,LTCH,8
Respiratory,Coronavirus,2022-08-21,2022-09-13,LTCH,23
Respiratory,Coronavirus,2022-08-21,2022-09-12,Retirement Home,22
Respiratory,Coronavirus,2022-08-21,2022-09-16,LTCH,26
Respiratory,Coronavirus,2022-08-19,2022-09-16,LTCH,28
Respiratory,Coronavirus,2022-08-19,2022-09-03,Acute Care,15
Respiratory,Coronavirus,2022-08-19,2022-09-17,LTCH,29
Respiratory,Coronavirus,2022-08-18,2022-08-30,Chronic Care,12
Respiratory,Coronavirus,2022-08-18,2022-09-06,Acute Care,19
Respiratory,Coronavirus,2022-08-18,2022-09-06,LTCH,19
Respiratory,Coronavirus,2022-08-17,2022-09-28,Retirement Home,42
Respiratory,Coronavirus,2022-08-17,2022-08-30,Acute Care,13
Respiratory,Coronavirus,2022-08-17,2022-09-02,Retirement Home,16
Respiratory,Coronavirus,2022-08-16,2022-09-09,Chronic Care,24
Respiratory,Coronavirus,2022-08-15,2022-08-29,Retirement Home,14
Respiratory,Coronavirus,2022-08-15,2022-08-26,Acute Care,11
Respiratory,Coronavirus,2022-08-15,2022-08-30,Chronic Care,15
Respiratory,Coronavirus,2022-08-15,2022-08-30,LTCH,15
Respiratory,Coronavirus,2022-08-15,2022-08-27,Acute Care,12
Respiratory,Coronavirus,2022-08-14,2022-08-25,Acute Care,11
Respiratory,Coronavirus,2022-08-14,2022-08-29,Chronic Care,15
Respiratory,Coronavirus,2022-08-12,2022-08-22,Retirement Home,10
Respiratory,Coronavirus,2022-08-12,2022-08-22,Retirement Home,10
Respiratory,Coronavirus,2022-08-12,2022-08-24,Chronic Care,12
Respiratory,Coronavirus,2022-08-11,2022-08-27,Retirement Home,16
Enteric,Unknown,2022-08-11,2022-08-17,LTCH,6
Respiratory,Coronavirus,2022-08-11,2022-08-24,Acute Care,13
Respiratory,Coronavirus,2022-08-11,2022-08-19,Chronic Care,8
Respiratory,Coronavirus,2022-08-11,2022-08-28,Acute Care,17
Respiratory,Coronavirus,2022-08-10,2022-08-26,Retirement Home,16
Respiratory,Coronavirus,2022-08-10,2022-09-21,LTCH,42
Respiratory,Coronavirus,2022-08-10,2022-08-26,LTCH,16
Respiratory,Coronavirus,2022-08-10,2022-08-25,LTCH,15
Respiratory,Coronavirus,2022-08-10,2022-09-02,LTCH,23
Respiratory,Coronavirus,2022-08-09,2022-08-30,Chronic Care,21
Respiratory,Coronavirus,2022-08-09,2022-09-03,LTCH,25
Respiratory,Coronavirus,2022-08-08,2022-08-30,Retirement Home,22
Respiratory,Coronavirus,2022-08-08,2022-09-12,LTCH,35
Respiratory,Rhinovirus,2022-08-08,2022-08-31,LTCH,23
Respiratory,Coronavirus,2022-08-08,2022-09-07,Retirement Home,30
Respiratory,Coronavirus,2022-08-08,2022-09-06,Retirement Home,29
Respiratory,Coronavirus,2022-08-08,2022-08-18,Acute Care,10
Respiratory,Coronavirus,2022-08-08,2022-09-08,LTCH,31
Respiratory,Coronavirus,2022-08-07,2022-08-30,LTCH,23
